ncbi_taxon_id,relative_abundance,scientific_name,sample
39492,14.1972,[Eubacterium] siraeum,relative_abundance_for_curated_sample_PRJEB1786-SAMEA1906421_at_taxonlevel_species.txt
45851,13.3819,Butyrivibrio crossotus,relative_abundance_for_curated_sample_PRJEB1786-SAMEA1906421_at_taxonlevel_species.txt
820,12.1606,Bacteroides uniformis,relative_abundance_for_curated_sample_PRJEB1786-SAMEA1906421_at_taxonlevel_species.txt
751585,11.1447,Coprococcus sp. ART55/1,relative_abundance_for_curated_sample_PRJEB1786-SAMEA1906421_at_taxonlevel_species.txt
39491,8.78589,[Eubacterium] rectale,relative_abundance_for_curated_sample_PRJEB1786-SAMEA1906421_at_taxonlevel_species.txt
853,4.73528,Faecalibacterium prausnitzii,relative_abundance_for_curated_sample_PRJEB1786-SAMEA1906421_at_taxonlevel_species.txt
2053618,4.69867,Unknown,relative_abundance_for_curated_sample_PRJEB1786-SAMEA1906421_at_taxonlevel_species.txt
360807,4.55407,Roseburia inulinivorans,relative_abundance_for_curated_sample_PRJEB1786-SAMEA1906421_at_taxonlevel_species.txt
39485,3.00343,[Eubacterium] eligens,relative_abundance_for_curated_sample_PRJEB1786-SAMEA1906421_at_taxonlevel_species.txt
457412,2.88789,Ruminococcus sp. 5_1_39BFAA,relative_abundance_for_curated_sample_PRJEB1786-SAMEA1906421_at_taxonlevel_species.txt
28116,2.69635,Bacteroides ovatus,relative_abundance_for_curated_sample_PRJEB1786-SAMEA1906421_at_taxonlevel_species.txt
1869337,2.05445,Unknown,relative_abundance_for_curated_sample_PRJEB1786-SAMEA1906421_at_taxonlevel_species.txt
33039,1.64863,[Ruminococcus] torques,relative_abundance_for_curated_sample_PRJEB1786-SAMEA1906421_at_taxonlevel_species.txt
88431,1.59895,Dorea longicatena,relative_abundance_for_curated_sample_PRJEB1786-SAMEA1906421_at_taxonlevel_species.txt
39488,1.47275,[Eubacterium] hallii,relative_abundance_for_curated_sample_PRJEB1786-SAMEA1906421_at_taxonlevel_species.txt
1735,1.39615,Holdemanella biformis,relative_abundance_for_curated_sample_PRJEB1786-SAMEA1906421_at_taxonlevel_species.txt
2173,1.20027,Methanobrevibacter smithii,relative_abundance_for_curated_sample_PRJEB1786-SAMEA1906421_at_taxonlevel_species.txt
39486,1.14023,Dorea formicigenerans,relative_abundance_for_curated_sample_PRJEB1786-SAMEA1906421_at_taxonlevel_species.txt
626940,1.01778,Phascolarctobacterium succinatutens,relative_abundance_for_curated_sample_PRJEB1786-SAMEA1906421_at_taxonlevel_species.txt
40520,0.70972,Blautia obeum,relative_abundance_for_curated_sample_PRJEB1786-SAMEA1906421_at_taxonlevel_species.txt
39490,0.67494,Eubacterium ramulus,relative_abundance_for_curated_sample_PRJEB1786-SAMEA1906421_at_taxonlevel_species.txt
1308,0.54075,Streptococcus thermophilus,relative_abundance_for_curated_sample_PRJEB1786-SAMEA1906421_at_taxonlevel_species.txt
328814,0.43004,Alistipes shahii,relative_abundance_for_curated_sample_PRJEB1786-SAMEA1906421_at_taxonlevel_species.txt
166486,0.42513,Roseburia intestinalis,relative_abundance_for_curated_sample_PRJEB1786-SAMEA1906421_at_taxonlevel_species.txt
410072,0.39962,Coprococcus comes,relative_abundance_for_curated_sample_PRJEB1786-SAMEA1906421_at_taxonlevel_species.txt
1929485,0.31374,Unknown,relative_abundance_for_curated_sample_PRJEB1786-SAMEA1906421_at_taxonlevel_species.txt
2137881,0.2861,Unknown,relative_abundance_for_curated_sample_PRJEB1786-SAMEA1906421_at_taxonlevel_species.txt
1872444,0.27814,Unknown,relative_abundance_for_curated_sample_PRJEB1786-SAMEA1906421_at_taxonlevel_species.txt
384638,0.25926,[Bacteroides] pectinophilus,relative_abundance_for_curated_sample_PRJEB1786-SAMEA1906421_at_taxonlevel_species.txt
658657,0.2269,Erysipelotrichaceae bacterium 21_3,relative_abundance_for_curated_sample_PRJEB1786-SAMEA1906421_at_taxonlevel_species.txt
39496,0.19867,Eubacterium ventriosum,relative_abundance_for_curated_sample_PRJEB1786-SAMEA1906421_at_taxonlevel_species.txt
116085,0.17984,Coprococcus catus,relative_abundance_for_curated_sample_PRJEB1786-SAMEA1906421_at_taxonlevel_species.txt
1945593,0.17607,Unknown,relative_abundance_for_curated_sample_PRJEB1786-SAMEA1906421_at_taxonlevel_species.txt
301301,0.14576,Roseburia hominis,relative_abundance_for_curated_sample_PRJEB1786-SAMEA1906421_at_taxonlevel_species.txt
1535,0.12722,[Clostridium] leptum,relative_abundance_for_curated_sample_PRJEB1786-SAMEA1906421_at_taxonlevel_species.txt
665950,0.12188,Lachnospiraceae bacterium 3_1_46FAA,relative_abundance_for_curated_sample_PRJEB1786-SAMEA1906421_at_taxonlevel_species.txt
1547,0.11703,Erysipelatoclostridium ramosum,relative_abundance_for_curated_sample_PRJEB1786-SAMEA1906421_at_taxonlevel_species.txt
658087,0.11345,Lachnospiraceae bacterium 7_1_58FAA,relative_abundance_for_curated_sample_PRJEB1786-SAMEA1906421_at_taxonlevel_species.txt
446660,0.11126,Adlercreutzia equolifaciens,relative_abundance_for_curated_sample_PRJEB1786-SAMEA1906421_at_taxonlevel_species.txt
658089,0.05852,Lachnospiraceae bacterium 5_1_63FAA,relative_abundance_for_curated_sample_PRJEB1786-SAMEA1906421_at_taxonlevel_species.txt
649756,0.05456,Anaerostipes hadrus,relative_abundance_for_curated_sample_PRJEB1786-SAMEA1906421_at_taxonlevel_species.txt
12908,0.04993,Unknown,relative_abundance_for_curated_sample_PRJEB1786-SAMEA1906421_at_taxonlevel_species.txt
328812,0.042,Parabacteroides goldsteinii,relative_abundance_for_curated_sample_PRJEB1786-SAMEA1906421_at_taxonlevel_species.txt
1304,0.03782,Streptococcus salivarius,relative_abundance_for_curated_sample_PRJEB1786-SAMEA1906421_at_taxonlevel_species.txt
333367,0.03116,[Clostridium] asparagiforme,relative_abundance_for_curated_sample_PRJEB1786-SAMEA1906421_at_taxonlevel_species.txt
1288121,0.02553,Alistipes senegalensis,relative_abundance_for_curated_sample_PRJEB1786-SAMEA1906421_at_taxonlevel_species.txt
61171,0.01903,Holdemania filiformis,relative_abundance_for_curated_sample_PRJEB1786-SAMEA1906421_at_taxonlevel_species.txt
1318,0.01749,Streptococcus parasanguinis,relative_abundance_for_curated_sample_PRJEB1786-SAMEA1906421_at_taxonlevel_species.txt
35833,0.0114,Bilophila wadsworthia,relative_abundance_for_curated_sample_PRJEB1786-SAMEA1906421_at_taxonlevel_species.txt
