ncbi_taxon_id,relative_abundance,scientific_name,sample
45851,16.088,Butyrivibrio crossotus,relative_abundance_for_curated_sample_PRJEB1786-SAMEA1906415_at_taxonlevel_species.txt
40518,8.89653,Ruminococcus bromii,relative_abundance_for_curated_sample_PRJEB1786-SAMEA1906415_at_taxonlevel_species.txt
853,7.83552,Faecalibacterium prausnitzii,relative_abundance_for_curated_sample_PRJEB1786-SAMEA1906415_at_taxonlevel_species.txt
2053618,6.89445,Unknown,relative_abundance_for_curated_sample_PRJEB1786-SAMEA1906415_at_taxonlevel_species.txt
751585,5.54092,Coprococcus sp. ART55/1,relative_abundance_for_curated_sample_PRJEB1786-SAMEA1906415_at_taxonlevel_species.txt
39491,5.15722,[Eubacterium] rectale,relative_abundance_for_curated_sample_PRJEB1786-SAMEA1906415_at_taxonlevel_species.txt
39483,3.79774,Faecalitalea cylindroides,relative_abundance_for_curated_sample_PRJEB1786-SAMEA1906415_at_taxonlevel_species.txt
39488,3.44197,[Eubacterium] hallii,relative_abundance_for_curated_sample_PRJEB1786-SAMEA1906415_at_taxonlevel_species.txt
457412,3.07604,Ruminococcus sp. 5_1_39BFAA,relative_abundance_for_curated_sample_PRJEB1786-SAMEA1906415_at_taxonlevel_species.txt
2173,2.9892,Methanobrevibacter smithii,relative_abundance_for_curated_sample_PRJEB1786-SAMEA1906415_at_taxonlevel_species.txt
411489,2.97492,Clostridium sp. L2-50,relative_abundance_for_curated_sample_PRJEB1786-SAMEA1906415_at_taxonlevel_species.txt
28117,2.90188,Alistipes putredinis,relative_abundance_for_curated_sample_PRJEB1786-SAMEA1906415_at_taxonlevel_species.txt
387090,2.25547,Bacteroides coprophilus,relative_abundance_for_curated_sample_PRJEB1786-SAMEA1906415_at_taxonlevel_species.txt
626940,2.02251,Phascolarctobacterium succinatutens,relative_abundance_for_curated_sample_PRJEB1786-SAMEA1906415_at_taxonlevel_species.txt
204516,1.76072,Bacteroides massiliensis,relative_abundance_for_curated_sample_PRJEB1786-SAMEA1906415_at_taxonlevel_species.txt
33039,1.70762,[Ruminococcus] torques,relative_abundance_for_curated_sample_PRJEB1786-SAMEA1906415_at_taxonlevel_species.txt
1680,1.57274,Bifidobacterium adolescentis,relative_abundance_for_curated_sample_PRJEB1786-SAMEA1906415_at_taxonlevel_species.txt
39485,1.47597,[Eubacterium] eligens,relative_abundance_for_curated_sample_PRJEB1786-SAMEA1906415_at_taxonlevel_species.txt
40519,1.41382,Ruminococcus callidus,relative_abundance_for_curated_sample_PRJEB1786-SAMEA1906415_at_taxonlevel_species.txt
40520,1.33047,Blautia obeum,relative_abundance_for_curated_sample_PRJEB1786-SAMEA1906415_at_taxonlevel_species.txt
88431,1.18409,Dorea longicatena,relative_abundance_for_curated_sample_PRJEB1786-SAMEA1906415_at_taxonlevel_species.txt
360807,1.15185,Roseburia inulinivorans,relative_abundance_for_curated_sample_PRJEB1786-SAMEA1906415_at_taxonlevel_species.txt
74426,0.98293,Collinsella aerofaciens,relative_abundance_for_curated_sample_PRJEB1786-SAMEA1906415_at_taxonlevel_species.txt
301301,0.88395,Roseburia hominis,relative_abundance_for_curated_sample_PRJEB1786-SAMEA1906415_at_taxonlevel_species.txt
410072,0.81398,Coprococcus comes,relative_abundance_for_curated_sample_PRJEB1786-SAMEA1906415_at_taxonlevel_species.txt
216816,0.79448,Bifidobacterium longum,relative_abundance_for_curated_sample_PRJEB1786-SAMEA1906415_at_taxonlevel_species.txt
46503,0.78512,Parabacteroides merdae,relative_abundance_for_curated_sample_PRJEB1786-SAMEA1906415_at_taxonlevel_species.txt
28116,0.77316,Bacteroides ovatus,relative_abundance_for_curated_sample_PRJEB1786-SAMEA1906415_at_taxonlevel_species.txt
39492,0.66078,[Eubacterium] siraeum,relative_abundance_for_curated_sample_PRJEB1786-SAMEA1906415_at_taxonlevel_species.txt
626929,0.65967,Bacteroides clarus,relative_abundance_for_curated_sample_PRJEB1786-SAMEA1906415_at_taxonlevel_species.txt
821,0.62151,Bacteroides vulgatus,relative_abundance_for_curated_sample_PRJEB1786-SAMEA1906415_at_taxonlevel_species.txt
46228,0.61848,Ruminococcus lactaris,relative_abundance_for_curated_sample_PRJEB1786-SAMEA1906415_at_taxonlevel_species.txt
47678,0.59334,Bacteroides caccae,relative_abundance_for_curated_sample_PRJEB1786-SAMEA1906415_at_taxonlevel_species.txt
116085,0.53115,Coprococcus catus,relative_abundance_for_curated_sample_PRJEB1786-SAMEA1906415_at_taxonlevel_species.txt
329854,0.47223,Bacteroides intestinalis,relative_abundance_for_curated_sample_PRJEB1786-SAMEA1906415_at_taxonlevel_species.txt
820,0.46173,Bacteroides uniformis,relative_abundance_for_curated_sample_PRJEB1786-SAMEA1906415_at_taxonlevel_species.txt
649756,0.41193,Anaerostipes hadrus,relative_abundance_for_curated_sample_PRJEB1786-SAMEA1906415_at_taxonlevel_species.txt
46506,0.38466,Bacteroides stercoris,relative_abundance_for_curated_sample_PRJEB1786-SAMEA1906415_at_taxonlevel_species.txt
39486,0.36037,Dorea formicigenerans,relative_abundance_for_curated_sample_PRJEB1786-SAMEA1906415_at_taxonlevel_species.txt
658089,0.31397,Lachnospiraceae bacterium 5_1_63FAA,relative_abundance_for_curated_sample_PRJEB1786-SAMEA1906415_at_taxonlevel_species.txt
12908,0.30294,Unknown,relative_abundance_for_curated_sample_PRJEB1786-SAMEA1906415_at_taxonlevel_species.txt
28118,0.29166,Odoribacter splanchnicus,relative_abundance_for_curated_sample_PRJEB1786-SAMEA1906415_at_taxonlevel_species.txt
357276,0.26052,Bacteroides dorei,relative_abundance_for_curated_sample_PRJEB1786-SAMEA1906415_at_taxonlevel_species.txt
823,0.23746,Parabacteroides distasonis,relative_abundance_for_curated_sample_PRJEB1786-SAMEA1906415_at_taxonlevel_species.txt
166486,0.23323,Roseburia intestinalis,relative_abundance_for_curated_sample_PRJEB1786-SAMEA1906415_at_taxonlevel_species.txt
328814,0.22607,Alistipes shahii,relative_abundance_for_curated_sample_PRJEB1786-SAMEA1906415_at_taxonlevel_species.txt
1099853,0.19868,Coprobacter fastidiosus,relative_abundance_for_curated_sample_PRJEB1786-SAMEA1906415_at_taxonlevel_species.txt
487174,0.19578,Barnesiella intestinihominis,relative_abundance_for_curated_sample_PRJEB1786-SAMEA1906415_at_taxonlevel_species.txt
246787,0.14477,Bacteroides cellulosilyticus,relative_abundance_for_curated_sample_PRJEB1786-SAMEA1906415_at_taxonlevel_species.txt
40545,0.11686,Sutterella wadsworthensis,relative_abundance_for_curated_sample_PRJEB1786-SAMEA1906415_at_taxonlevel_species.txt
1308,0.1152,Streptococcus thermophilus,relative_abundance_for_curated_sample_PRJEB1786-SAMEA1906415_at_taxonlevel_species.txt
818,0.11288,Bacteroides thetaiotaomicron,relative_abundance_for_curated_sample_PRJEB1786-SAMEA1906415_at_taxonlevel_species.txt
1118061,0.08934,Alistipes obesi,relative_abundance_for_curated_sample_PRJEB1786-SAMEA1906415_at_taxonlevel_species.txt
39490,0.08544,Eubacterium ramulus,relative_abundance_for_curated_sample_PRJEB1786-SAMEA1906415_at_taxonlevel_species.txt
371601,0.07237,Bacteroides xylanisolvens,relative_abundance_for_curated_sample_PRJEB1786-SAMEA1906415_at_taxonlevel_species.txt
